Subject,Accuracy,Kappa
A01T,0.8793103448275863,0.8390675626843642
A02T,0.7103448275862069,0.6133643037225435
A03T,0.9120689655172413,0.8827858789152732
A04T,0.743103448275862,0.657439561350894
A05T,0.7879310344827586,0.7172765100992055
A06T,0.6793103448275862,0.5723137337828973
A07T,0.8879310344827586,0.8505509199651055
A08T,0.8775862068965518,0.8367660411911586
A09T,0.8310344827586207,0.7745437295901902
